Year;Занятые;Безработные;Общее количество занятых в неформальном секторе;только в неформальном секторе;в неформальном и формальном секторах;с основной работой в неформальном секторе;с дополнительной работой в неформальном секторе;Занятые в неформальном секторе в % к общей численности занятых;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2005;68339;5242;12518;10465;2054;15;2038;18,3;63029;59539;55357;4182;2493;;;998;;;;;;;;;rab_sila_2013
2006;69169;5250;12601;10792;1809;17;1791;18,2;63961;60364;55952;4412;2443;;;1154;;;;;;;;;rab_sila_2013
2007;70770;4519;12931;11163;1768;16;1752;18,3;65593;61751;57505;4246;2485;;;1357;;;;;;;;;rab_sila_2013
2008;71003;4697;13837;12027;1810;25;1786;19,5;65814;61630;56673;4957;2738;;;1446;;;;;;;;;rab_sila_2013
2009;69410;6284;13382;11737;1645;20;1625;19,3;64266;60961;57525;3436;2414;;;869;21;;;;;;;;rab_sila_2013
2010;69934;5544;11482;10195;1288;18;1270;16,4;65158;62191;59262;2929;2257;;;688;22;;;;;;;;rab_sila_2013
2011;70857;4922;12922;11563;1359;17;1342;18,2;65827;62838;60341;2497;2312;;;664;13;;;;;;;;rab_sila_2013
2012;71545;4131;13600;12296;1304;15;1288;19;66598;63301;60940;2361;2490;;;788;19;;;;;;;;rab_sila_2013
2001;65124;6288;8155;6487;1668;11;1657;12,5;60585;58780;56227;2553;1323;;;481;;;;;;;;;rab_sila_2010
2002;66266;6155;8600;6783;1817;4;1813;13;61520;59774;57542;2232;1175;;;572;;;;;;;;;rab_sila_2010
2003;67152;5683;10637;8859;1778;21;1757;15,8;62226;58918;54293;4625;2223;;;1085;;;;;;;;;rab_sila_2010
2004;67134;5775;10787;9317;1470;15;1455;16,1;62590;59252;55225;4027;2422;;;915;;;;;;;;;rab_sila_2010
2005;68603;5208;12092;10287;1805;9;1796;17,6;63614;60227;55976;4251;2473;;;914;;;;;;;;;rab_sila_2010
2006;69157;4999;11667;10162;1505;10;1495;16,9;64551;60950;56832;4118;2338;;;1262;;;;;;;;;rab_sila_2010
2007;70814;4246;12080;10659;1421;17;1404;17,1;66183;62327;58322;4005;2481;;;1375;;;;;;;;;rab_sila_2010
2008;70603;5289;13602;11948;1654;26;1628;19,3;65639;61362;56666;4696;2727;;;1551;;;;;;;;;rab_sila_2010
2009;69362;6162;12489;11077;14117;19;1393;18;64560;61673;58394;3279;2171;;;710;;;;;;;;;rab_sila_2010
2000;65273;7059;;;;;;;59329;58193;56241;1952;313;;;823;;;;;;;;;rab_sila_2008
2001;65124;6288;8155;6487;1668;11;1657;12,5;60585;58780;56227;2553;1323;;;481;;;;;;;;;rab_sila_2008
2002;66266;6155;8600;6783;1817;4;1813;13;61520;59774;57542;2232;1175;;;572;;;;;;;;;rab_sila_2008
2003;67152;5683;10637;8859;1778;21;1757;15,8;62226;58918;54293;4625;2223;;;1085;;;;;;;;;rab_sila_2008
2004;67134;5775;10787;9317;1470;15;1455;16,1;62590;59252;55225;4027;2422;;;915;;;;;;;;;rab_sila_2008
2005;68603;5208;12092;10287;1805;9;1796;17,6;63614;60227;55976;4251;2473;;;914;;;;;;;;;rab_sila_2008
2006;69157;4999;11667;10162;1505;10;1495;16,9;64551;60950;56832;4118;2338;;;1262;;;;;;;;;rab_sila_2008
2007;70814;4246;12080;10659;1421;17;1404;17,1;66183;62327;58322;4005;2481;;;1375;;;;;;;;;rab_sila_2008
1992;71171;3889;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1993;68565;4286;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1994;64858;5740;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1995;64055;6684;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1996;63000;6740;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1997;60208;8065;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1998;58464;8938;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2006
1999;63633;9158;;;;;;;57369;56238;54254;1984;322;;;809;;;;;;;;;rab_sila_2006
2000;65273;7059;;;;;;;59329;58193;56241;1952;313;;;823;;;;;;;;;rab_sila_2006
2001;65124;6288;;;;;;;60585;58780;56227;2553;1323;;;481;;;;;;;;;rab_sila_2006
2002;66266;6155;;;;;;;61520;59774;57542;2232;1175;;;572;;;;;;;;;rab_sila_2006
2003;67152;5683;;;;;;;62226;58918;54293;4625;2223;;;1085;;;;;;;;;rab_sila_2006
2004;67134;5775;;;;;;;62590;59252;55225;4027;2422;;;915;;;;;;;;;rab_sila_2006
1992;71068;3877;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1993;68642;4305;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1994;64785;5702;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1995;64149;6712;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1996;62928;6732;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1997;60021;8058;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1998;58437;8902;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1999;63082;9094;;;;;;;56906;55774;53775;1999;325;;;807;;;;;;;;;rab_sila_2002
2000;64465;6999;;;;;;;58476;57354;55474;1880;304;;;817;;;;;;;;;rab_sila_2002
2001;64664;6303;;;;;;;60126;58310;55724;2586;1328;;;489;;;;;;;;;rab_sila_2002
2010;69934;5544;;;;;;;;;;;;;;;;;;;;;;;trud_2023
2015;72324;4264;;;;;;;;;;;;;;;;;;;;;;;trud_2023
2019;71933;3465;;;;;;;;;;;;;;;;;;;;;;;trud_2023
2020;70601;4321;;;;;;;;;;;;;;;;;;;;;;;trud_2023
2021;71719;3631;;;;;;;;;;;;;;;;;;;;;;;trud_2023
2022;71974;2951;13385;12573;811;14;797;18,59699336;66989;63612;62346;1266;2043;1357;686;1335;;;;;;;;;trud_2023
2010;69934;5544;;;;;;;;;;;;;;;;;;;;;;;trud_2021
2015;72324;4264;;;;;;;;;;;;;;;;;;;;;;;trud_2021
2016;72393;4243;;;;;;;;;;;;;;;;;;;;;;;trud_2021
2017;72316;3969;;;;;;;67520;64285;61948;2337;2633;;;594;;8;;;;;;;trud_2021
2018;72532;3658;;;;;;;67577;64382;62281;2101;2559;;;630;;7;;;;;;;trud_2021
2019;71933;3465;;;;;;;67109;63602;61720;1882;2655;;;822;;30;;;;;;;trud_2021
2020;70601;4321;14122;13207;915;21;894;20,00254954;65833;62633;60925;1708;2246;;;901;;53;;;;;;;trud_2021
2017;72142;3967;;;;;;;67520;64262;61948;2314;2633;;;594;23;8;;;;;;;trud_2019
2018;72354;3657;14581;13662;920;18;902;20,15230671;67577;64353;62280;2073;2559;;;630;27;7;;;;;;;trud_2019
2005;68339;5242;;;;;;;63029;59539;55357;4182;2493;;;998;;;;;;;;;trud_2017
2010;69934;5544;;;;;;;65158;62213;59284;2929;2257;;;688;;;;;;;;;trud_2017
2014;71539;3889;;;;;;;66378;63132;60493;2639;2655;;;590;;;;;;;;;trud_2017
2015;72324;4264;;;;;;;67109;63786;61105;2681;2707;;;617;;;;;;;;;trud_2017
2016;72393;4243;;;;;;;66968;63846;61379;2467;2513;;;609;;;;;;;;;trud_2017
2005;68339;5242;;;;;;;63029;59539;55357;4182;2493;;;998;;;;;;;;;trud_2015
2010;69934;5544;;;;;;;65158;62213;59284;2929;2257;;;688;;;;;;;;;trud_2015
2011;70857;4922;;;;;;;65827;62851;60354;2497;2312;;;664;;;;;;;;;trud_2015
2012;71545;4131;;;;;;;66598;63320;60959;2361;2490;;;788;;;;;;;;;trud_2015
2013;71391;4137;;;;;;;66197;62780;60563;2217;2702;;;715;;;;;;;;;trud_2015
2014;71539;3889;;;;;;;66378;63132;60493;2639;2655;;;590;;;;;;;;;trud_2015
2010;69933,70846;5544,165584;11482,42912;10194,55256;1287,876567;18,05451128;1269,822055;0,016419019;65157,9204;62191,36648;59262,26984;2929,096638;2256,617244;;;688,2733835;21,66329762;;2781,080249;731,8216411;269,6518641;1717,228747;62,37799777;;ors_new_2010_2012
2011;70856,61311;4922,399755;12921,93563;11563,39986;1358,535768;16,75268945;1341,783079;0,018236739;65827,24907;62838,04737;60341,21592;2496,831453;2312,076542;;;663,6740882;13,45107292;;3014,187004;803,5755773;246,8865561;1901,716296;62,00857555;;ors_new_2010_2012
2012;71545,41586;4130,659995;13599,80176;12296,18142;1303,62034;15,15220585;1288,468135;0,019008628;66597,75255;63300,90991;60939,64719;2361,262719;2490,041627;;;787,6932487;19,10776243;;2910,327509;736,9896184;283,3556657;1837,726934;52,25529097;;ors_new_2010_2012
2013;71474,92002;4140,638112;14114,433;12880,60097;1233,832031;18,48604224;1215,345989;0,019747393;66273,43147;62829,66129;60616,98301;2212,678275;2705,478434;;;717,5235388;20,76821214;;3148,990085;875,311115;145,3647204;2048,838377;79,47587256;;ors_new_2013_2015
2014;71687,81392;3894,479524;14419,63233;13121,99681;1297,635528;23,03633066;1274,599198;0,020114482;66514,72892;63213,32162;60578,49915;2634,822471;2658,879613;;;592,6440071;28,53374608;21,34993224;3210,637371;899,8891931;135,6681002;2089,339556;85,74052142;;ors_new_2013_2015
2015;72495,28293;4266,963285;14873,56235;13584,92954;1288,632816;24,14748521;1264,485331;0,020516593;67245,9387;63886,69701;61212,57446;2674,122559;2707,064997;;;619,2117022;27,51998261;5,445004808;3259,481365;939,0612698;117,2763021;2131,705251;71,43854241;;ors_new_2013_2015
2016;72684,20134;4248,466306;15426,29372;13892,58834;1533,705384;22,5686423;1511,136741;0,021223723;67239,01236;64078,4635;61615,56289;2462,90061;2515,225254;;;612,6101367;26,32750806;6,385958738;3381,853539;961,5349432;130,6664582;2215,177054;74,47508347;;ors_new_2016
2017;72677,57718;3981,58388;14388,79989;13429,40348;959,3964118;16,45108728;942,9453245;0,019798128;67858,09818;64593,00543;62281,97332;2311,032106;2636,69701;;;597,6635796;23,13294202;7,599221823;3399,717617;1039,793053;113,1913198;2183,897357;62,83588717;;ors_new_2017_2019
2018;72956,68549;3672,951691;14659,95724;13733,68706;926,2701826;18,24703812;908,0231445;20,094056;67972,97997;64741,32743;62660,65175;2080,675681;2561,493253;;;635,4348813;27,51685016;7,207550141;3530,560742;1096,611241;101,1969642;2283,065604;49,68693255;;ors_new_2017_2019
2019;72392,45427;3487,934185;14884,65201;13914,66799;969,9840229;19,71625157;950,2677713;0,020561055;67537,14534;64019,2222;62125,95682;1893,265384;2658,887777;;;828,1698728;;30,86548519;3524,142479;1164,687897;115,5806891;2187,188016;56,68587588;;ors_new_2017_2019
2020;71115,67781;4350,563475;14217,40128;13294,98508;922,4162028;21,49642466;900,9197781;0,019991937;66310,98446;63099,5942;61383,2664;1716,327805;2248,11789;;;909,305248;;53,9671167;3498,068838;1158,894868;119,5265702;2158,773341;60,87405861;;ors_new_2020_2021
2021;72297,8866;3671,360219;14681,17491;13801,02516;880,1497504;15,14068366;865,0090667;0,020306506;67475,30362;64134,44489;62588,88774;1545,557154;2206,804284;;;1099,636873;;34,41757504;3609,112063;1243,892791;105,4379682;2193,651196;66,13010817;;ors_new_2020_2021
2022;72643,93719;2988,487525;13481,48367;12663,56507;817,9185936;14,11158461;803,807009;0,018558305;67687,79371;64223,17667;;;2105,143398;;;1359,473643;;;3047,611169;1117,879341;116,6167954;1740,570877;72,54415585;779,2274451;ors_new_2022
2023;73636,16138;2400,542003;13443,79941;12640,91505;802,8843607;13,1270774;789,7572833;0,018257062;68601,61343;65647,15692;;;1802,935328;;;1151,521184;;;2973,17353;989,5149734;140,5553682;1779,667023;63,43616601;1075,88128;ors_new_2023
2010;69933,70846;5544,165584;11482,42912;10194,55256;1287,876567;18,05451128;1269,822055;16,41901935;65157,9204;62191,36648;59262,26984;2929,096638;2256,617244;;;688,2733835;21,66329762;;2781,080249;731,8216411;269,6518641;1717,228747;62,37799777;;ors_old_2010_2016
2011;70856,61311;4922,399755;12921,93563;11563,39986;1358,535768;16,75268945;1341,783079;18,23673904;65827,24907;62838,04737;60341,21592;2496,831453;2312,076542;;;663,6740882;13,45107292;;3014,187004;803,5755773;246,8865561;1901,716296;62,00857555;;ors_old_2010_2016
2012;71545,41586;4130,659995;13599,80176;12296,18142;1303,62034;15,15220585;1288,468135;19,00862773;66597,75255;63300,90991;60939,64719;2361,262719;2490,041627;;;787,6932487;19,10776243;;2910,327509;736,9896184;283,3556657;1837,726934;52,25529097;;ors_old_2010_2016
2013;71391,45958;4137,443348;14096,3088;12864,30414;1232,004664;18,47854116;1213,526123;19,7450912;66196,83032;62758,93946;60541,92589;2217,013573;2702,348214;;;714,8664899;20,67615178;;3144,058562;874,0311813;145,3573473;2045,240777;79,42925637;;ors_old_2010_2016
2014;71539,04357;3889,373857;14386,56243;13091,66092;1294,901509;22,95177888;1271,94973;20,11008495;66378,31046;63082,95611;60443,52445;2639,431659;2655,186181;;;590,4442176;28,4048186;21,31912946;3202,92241;898,1359746;135,4139798;2083,753981;85,61847438;;ors_old_2010_2016
2015;72323,62253;4263,926593;14826,98261;13544,65127;1282,331341;24,03424887;1258,297092;20,5008849;67109,47455;63753,32521;61072,56066;2680,764553;2706,866437;;;616,664622;27,14188314;5,476399937;3251,684255;937,467919;117,3370177;2125,654629;71,2246902;;ors_old_2010_2016
2016;72392,62813;4243,491933;15369,86167;13843,22048;1526,641183;22,50593883;1504,135244;21,2312525;66968,36244;63813,53018;61346,19771;2467,33247;2513,07445;;;609,2416504;26,13162061;6,384540666;3367,909901;959,0052909;130,0851301;2204,571408;74,24807192;;ors_old_2010_2016
2017;72315,93593;3969,474984;14324,25142;13369,75733;954,4940883;16,36539917;938,1286891;19,80787669;67519,7923;64262,18037;61948,27535;2313,905017;2633,142958;;;593,7098579;23,08589545;7,673224715;3384,220095;1036,330096;113,0718729;2172,230118;62,58800826;;ors_old_2017_2019
2018;72531,63989;3658,472489;14581,40112;13661,56533;919,8357922;18,15068215;901,68511;20,10350399;67576,71727;64353,53557;62280,36845;2073,167118;2558,535004;;;630,101071;27,37375459;7,1718766;3511,178795;1092,938796;100,9137689;2267,539005;49,78722526;;ors_old_2017_2019
2019;71933,08093;3464,821284;14800,2705;13836,12018;964,1503233;19,79586965;944,3544536;20,57505436;67108,96517;63601,38296;61719,74732;1881,635634;2655,107433;;;821,9944603;;30,48032179;3501,777761;1160,80224;114,9014565;2169,743725;56,33034047;;ors_old_2017_2019
2020;70601,38743;4321,287236;14121,88307;13206,78504;915,0980365;21,42632506;893,6717114;20,00227416;65832,93138;62633,21938;60925,30414;1707,915232;2245,867057;;;900,5482728;;53,29668025;3472,74684;1154,688425;117,9586344;2139,795999;60,30378136;;ors_old_2020_2021
2021;71719,40647;3630,522794;14570,75194;13698,03035;872,721593;15,08222408;857,6393689;20,3163309;66936,1113;63604,43007;62066,12535;1538,304722;2207,441707;;;1090,496967;;33,7425542;3581,318751;1242,214613;104,2104309;2169,125315;65,76839241;;ors_old_2020_2021
2022;71973,55262;2950,664481;13384,55808;12573,12086;811,4372155;14,2477102;797,1895053;18,59649495;67060,57111;63611,52365;;;2105,408193;;;1343,639258;;;3021,872892;1114,466837;114,7570982;1721,127001;71,52195608;772,0550598;ors_old_2022
2023;73636,16138;2400,542003;13443,79941;12640,91505;802,8843607;13,1270774;789,7572833;18,2570617;68601,61343;65647,15692;;;1802,935328;;;1151,521184;;;2973,17353;989,5149734;140,5553682;1779,667023;63,43616601;1075,88128;ors_old_2023
1999;;;;;;;;;56115,32668;54922,11705;52794,14154;2127,975516;362,3564372;;;830,8531868;;;;;;;;;GKS_1
2000;;;;;;;;;58512,34423;57357,36645;55308,51555;2048,850893;348,7638163;;;806,2139665;;;;;;;;;GKS_1
2001;;;;;;;;;59852,86805;58066,65353;55531,90636;2534,747167;1274,990212;;;511,2243092;;;;;;;;;GKS_1
2002;;;;;;;;;61477,03904;59613,0213;57120,8709;2492,150409;1328,927008;;;535,0907271;;;;;;;;;GKS_1
2003;;;;;;;;;61434,72518;58396,01341;54069,0101;4327,003306;2050,119921;;;988,5918535;;;;;;;;;GKS_1
2004;;;;;;;;;62274,301;59065,63596;54816,12833;4249,507625;2332,588731;;;876,076308;;;;;;;;;GKS_1
2005;;;;;;;;;63029,31639;59538,99788;55357,46199;4181,535897;2492,618666;;;997,6998415;;;;;;;;;GKS_1
2006;;;;;;;;;63961,00562;60363,59384;55951,73054;4411,863295;2443,485395;;;1153,926388;;;;;;;;;GKS_1
2007;;;;;;;;;65592,51938;61750,67082;57505,16809;4245,502725;2485,278091;;;1356,570466;;;;;;;;;GKS_1
2008;;;;;;;;;65814,07028;61630,1784;56672,82193;4957,356473;2738,249839;;;1445,642043;;;;;;;;;GKS_1
2009;;;;;;;;;64265,5517;60960,85196;57524,99196;3435,859997;2414,104244;;;869,1521037;21,44339369;;;;;;;;GKS_1
2003;;;;;;;;;61434,72518;58396,01341;54069,0101;4327,003306;2050,119921;;;988,5918535;;;;;;;;;GKS_2
2004;;;;;;;;;62274,301;59065,63596;54816,12833;4249,507625;2332,588731;;;876,076308;;;;;;;;;GKS_2
2005;;;;;;;;;63029,31639;59538,99788;55357,46199;4181,535897;2492,618666;;;997,6998415;;;;;;;;;GKS_2
2006;;;;;;;;;63961,00562;60363,59384;55951,73054;4411,863295;2443,485395;;;1153,926388;;;;;;;;;GKS_2
2007;;;;;;;;;65592,51938;61750,67082;57505,16809;4245,502725;2485,278091;;;1356,570466;;;;;;;;;GKS_2
2008;;;;;;;;;65814,07028;61630,1784;56672,82193;4957,356473;2738,249839;;;1445,642043;;;;;;;;;GKS_2
2009;;;;;;;;;64265,5517;60982,29536;57546,43536;3435,859997;2414,104244;;;869,1521037;;;;;;;;;GKS_2
