Year;Month;Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2010;1;2822,880062;706,1242285;297,4943683;1769,696246;49,56521976;;ors_old_2010_2016
2010;2;2752,131225;668,520802;331,5020085;1677,433736;74,67467845;;ors_old_2010_2016
2010;3;2580,739695;602,2923898;262,2482777;1646,603544;69,59548379;;ors_old_2010_2016
2010;4;2890,161161;753,1604378;287,2571886;1779,047245;70,69629008;;ors_old_2010_2016
2010;5;2754,239969;756,9969934;269,6268826;1645,908933;81,70715951;;ors_old_2010_2016
2010;6;2720,982587;845,077916;220,6093477;1588,844316;66,451007;;ors_old_2010_2016
2010;7;2930,517939;814,847443;257,5734879;1813,305448;44,79155907;;ors_old_2010_2016
2010;8;2931,395779;727,7255039;278,3721966;1839,515131;85,78294767;;ors_old_2010_2016
2010;9;2800,317934;795,8347486;242,338051;1677,718899;84,42623544;;ors_old_2010_2016
2010;10;2712,072251;764,389534;243,3813588;1661,07672;43,22463766;;ors_old_2010_2016
2010;11;2768,055908;701,4288535;266,475147;1765,279087;34,87282021;;ors_old_2010_2016
2010;12;2709,468484;645,4608424;278,9440538;1742,315653;42,74793464;;ors_old_2010_2016
2011;1;3005,263863;892,3048043;251,1475982;1797,945651;63,86580945;;ors_old_2010_2016
2011;2;3103,969082;791,3211424;287,0409031;1950,735592;74,87144496;;ors_old_2010_2016
2011;3;2967,689888;800,0018804;240,326749;1879,057685;48,30357425;;ors_old_2010_2016
2011;4;2990,204602;729,5080065;247,6992145;1927,272741;85,72464077;;ors_old_2010_2016
2011;5;3000,807107;767,9367213;272,2887542;1903,791307;56,79032454;;ors_old_2010_2016
2011;6;3004,092451;852,2298114;241,7717185;1841,607936;68,4829856;;ors_old_2010_2016
2011;7;3207,30837;973,1711883;233,0307246;1964,279147;36,82731054;;ors_old_2010_2016
2011;8;2983,534749;791,9116276;249,2519281;1873,827556;68,54363719;;ors_old_2010_2016
2011;9;3024,525853;726,3112623;261,2566933;1970,364267;66,59363042;;ors_old_2010_2016
2011;10;2985,853798;790,7492313;250,861328;1892,54002;51,70321856;;ors_old_2010_2016
2011;11;2890,013488;771,097909;216,9519767;1859,255131;42,70847144;;ors_old_2010_2016
2011;12;3006,980802;756,3633425;211,0110848;1959,918516;79,68785884;;ors_old_2010_2016
2012;1;3076,617893;736,4502099;279,7832623;2006,930939;53,45348082;;ors_old_2010_2016
2012;2;2733,902394;663,4109483;322,0926964;1707,239037;41,15971235;;ors_old_2010_2016
2012;3;2851,984984;687,420785;287,3832793;1816,677981;60,50293884;;ors_old_2010_2016
2012;4;2932,789721;696,4123228;291,4920541;1880,454427;64,43091699;;ors_old_2010_2016
2012;5;2939,291107;759,1009691;251,6945193;1875,916784;52,57883497;;ors_old_2010_2016
2012;6;2840,819644;853,0854312;297,1609908;1635,456092;55,11712913;;ors_old_2010_2016
2012;7;2956,70951;793,456707;318,4139286;1798,371253;46,46762167;;ors_old_2010_2016
2012;8;2932,40426;691,4860072;316,3735942;1870,350735;54,19392366;;ors_old_2010_2016
2012;9;2819,073072;699,7050069;232,6059856;1841,90758;44,854499;;ors_old_2010_2016
2012;10;2985,290082;769,819637;326,1917958;1836,190191;53,08845772;;ors_old_2010_2016
2012;11;2889,887886;664,1102717;244,1515337;1924,697537;56,9285434;;ors_old_2010_2016
2012;12;2965,159556;829,4171241;232,9243481;1858,530651;44,28743312;;ors_old_2010_2016
2013;1;2948,482669;856,6324559;122,1318283;1884,078015;85,64036948;;ors_old_2010_2016
2013;2;3051,201337;828,9193443;126,0618543;2040,072273;56,14786541;;ors_old_2010_2016
2013;3;2903,728684;893,6112852;148,9327386;1809,921261;51,26339967;;ors_old_2010_2016
2013;4;2995,63724;838,9541335;155,6116327;1925,962541;75,1089327;;ors_old_2010_2016
2013;5;3067,476658;784,7538562;167,2961905;2048,728628;66,69798315;;ors_old_2010_2016
2013;6;3215,075546;869,6982831;152,1375748;2123,701316;69,53837218;;ors_old_2010_2016
2013;7;3156,195827;849,8725563;141,2294647;2073,697431;91,39637554;;ors_old_2010_2016
2013;8;3206,997891;977,0955888;131,4612156;1987,848064;110,5930218;;ors_old_2010_2016
2013;9;3182,192646;956,7573834;137,0636093;2013,345945;75,0257088;;ors_old_2010_2016
2013;10;3466,411037;1020,124121;175,3399898;2167,935693;103,0112327;;ors_old_2010_2016
2013;11;3310,628932;771,9649942;146,6780103;2279,513304;112,4726236;;ors_old_2010_2016
2013;12;3224,674277;839,9901735;140,344059;2188,084853;56,25519153;;ors_old_2010_2016
2014;1;3183,923359;827,2109322;122,1189697;2152,124618;82,46883861;;ors_old_2010_2016
2014;2;3326,033514;867,8999348;143,2546554;2209,650812;105,2281118;;ors_old_2010_2016
2014;3;3018,297366;854,7333913;110,7258873;1971,96315;80,87493749;;ors_old_2010_2016
2014;4;3243,499161;868,5627339;144,4239178;2161,051446;69,46106329;;ors_old_2010_2016
2014;5;3381,654008;954,1498784;167,4900523;2165,956924;94,05715298;;ors_old_2010_2016
2014;6;3366,053413;1005,49671;158,685747;2134,711733;67,15922328;;ors_old_2010_2016
2014;7;3196,488187;994,0225608;154,7589163;1976,349309;71,35740097;;ors_old_2010_2016
2014;8;3201,519137;947,5714394;122,9265167;2053,953166;77,06801505;;ors_old_2010_2016
2014;9;3176,083379;864,3273745;162,405936;2055,962886;93,3871822;;ors_old_2010_2016
2014;10;3263,613506;881,116094;124,4244475;2167,826131;90,24683302;;ors_old_2010_2016
2014;11;3152,974856;814,1619587;119,804964;2088,454141;130,5537925;;ors_old_2010_2016
2014;12;2924,929034;898,3786868;93,94774791;1867,043458;65,55914127;;ors_old_2010_2016
2015;1;3307,326611;908,7491044;119,9351403;2175,519052;103,1233138;;ors_old_2010_2016
2015;2;3289,408598;866,9518827;113,5567763;2214,594019;94,30591992;;ors_old_2010_2016
2015;3;3129,451908;873,0408213;116,8672036;2063,896846;75,64703643;;ors_old_2010_2016
2015;4;3099,273298;876,884987;106,4350932;2051,386702;64,56651489;;ors_old_2010_2016
2015;5;3520,710826;1063,943173;144,6734713;2228,4159;83,67828231;;ors_old_2010_2016
2015;6;3149,093637;950,8831296;104,0024265;2035,289365;58,91871625;;ors_old_2010_2016
2015;7;3271,352381;936,966461;89,07904918;2168,905385;76,40148575;;ors_old_2010_2016
2015;8;3091,300274;965,3572209;110,5426418;1929,370379;86,03003232;;ors_old_2010_2016
2015;9;3321,104518;1069,840618;128,6064035;2079,295434;43,36206228;;ors_old_2010_2016
2015;10;3227,392337;984,2845662;137,0835786;2056,850977;49,17321561;;ors_old_2010_2016
2015;11;3367,756328;918,5761464;113,9779791;2279,708848;55,49335494;;ors_old_2010_2016
2015;12;3246,04035;834,136918;123,2844489;2224,622635;63,99634795;;ors_old_2010_2016
2016;1;3262,976758;987,7657906;101,1656394;2097,041401;77,00392691;;ors_old_2010_2016
2016;2;3373,939392;1001,713863;144,5267067;2150,308503;77,39031855;;ors_old_2010_2016
2016;3;3396,817582;948,231816;118,7792338;2239,30289;90,50364233;;ors_old_2010_2016
2016;4;3451,499695;1052,682;99,59672978;2225,301206;73,91975908;;ors_old_2010_2016
2016;5;3467,705684;921,359695;194,8317929;2272,792481;78,72171549;;ors_old_2010_2016
2016;6;3489,634938;1035,100835;111,2729646;2284,690697;58,57044161;;ors_old_2010_2016
2016;7;3392,044477;955,2056817;182,7498115;2186,644894;67,44409016;;ors_old_2010_2016
2016;8;3336,560663;943,7468531;112,7297481;2227,323262;52,7608001;;ors_old_2010_2016
2016;9;3286,338413;786,1397399;146,768064;2280,622717;72,80789206;;ors_old_2010_2016
2016;10;3362,594854;967,2280797;105,4473532;2192,27612;97,64330115;;ors_old_2010_2016
2016;11;3353,515634;910,222461;115,4958997;2245,667813;82,12946004;;ors_old_2010_2016
2016;12;3241,290719;998,6666759;127,6576176;2052,88491;62,0815156;;ors_old_2010_2016
2017;1;3489,480883;1114,40115;128,963807;2160,175386;85,94053939;;ors_old_2017_2019
2017;2;3020,518752;869,8007751;106,4192502;1985,510035;58,78869176;;ors_old_2017_2019
2017;3;3234,552019;955,9020723;119,2218901;2077,140217;82,28783949;;ors_old_2017_2019
2017;4;3284,629332;955,5946251;156,3095893;2097,871873;74,85324436;;ors_old_2017_2019
2017;5;3208,083597;948,9881805;108,1746694;2068,980362;81,94038573;;ors_old_2017_2019
2017;6;3365,840858;953,9300404;90,52767809;2264,026281;57,35685868;;ors_old_2017_2019
2017;7;3514,345724;1091,918413;94,26591006;2265,023957;63,13744336;;ors_old_2017_2019
2017;8;3313,648091;1030,055019;112,0000514;2098,304866;73,28815423;;ors_old_2017_2019
2017;9;3495,023271;1160,743911;118,4822534;2176,457597;39,33950945;;ors_old_2017_2019
2017;10;3522,227001;1185,147097;105,8959617;2190,043017;41,14092461;;ors_old_2017_2019
2017;11;3606,62919;1096,804585;125,9372433;2328,379344;55,50801803;;ors_old_2017_2019
2017;12;3555,662424;1072,67528;90,66417033;2354,848484;37,47449;;ors_old_2017_2019
2018;1;3355,383225;1071,589686;100,3067707;2147,564302;35,92246592;;ors_old_2017_2019
2018;2;3518,207499;1102,969671;118,6999973;2213,510953;83,02687748;;ors_old_2017_2019
2018;3;3667,547122;1075,892773;74,53668362;2472,124538;44,9931276;;ors_old_2017_2019
2018;4;3508,709143;1108,744781;94,34714011;2242,349815;63,26740769;;ors_old_2017_2019
2018;5;3708,948251;1136,186778;100,1463863;2413,187676;59,4274104;;ors_old_2017_2019
2018;6;3629,449189;1110,793999;99,05690424;2380,637531;38,96075447;;ors_old_2017_2019
2018;7;3445,957876;1061,196618;126,6519038;2218,166027;39,94332708;;ors_old_2017_2019
2018;8;3481,934086;1117,434145;93,86960551;2214,702814;55,92752221;;ors_old_2017_2019
2018;9;3397,462808;988,3943843;105,2637301;2278,349569;25,45512509;;ors_old_2017_2019
2018;10;3497,099571;1054,538092;106,5168322;2286,508474;49,5361732;;ors_old_2017_2019
2018;11;3644,137068;1272,646487;65,668502;2238,90276;66,91931792;;ors_old_2017_2019
2018;12;3279,309698;1014,878136;125,9007705;2104,463597;34,06719406;;ors_old_2017_2019
2019;1;3354,029745;1028,205375;82,39577621;2149,396144;94,03244904;;ors_old_2017_2019
2019;2;3342,760985;1058,10564;87,39448806;2113,408897;83,85195969;;ors_old_2017_2019
2019;3;3666,312615;1134,457487;82,05433858;2390,475025;59,32576539;;ors_old_2017_2019
2019;4;3517,645393;1048,304131;151,3681835;2265,554576;52,41850173;;ors_old_2017_2019
2019;5;3437,565078;1103,329191;121,8473584;2168,987254;43,4012747;;ors_old_2017_2019
2019;6;3598,555284;1219,932696;118,1139501;2209,847649;50,66098932;;ors_old_2017_2019
2019;7;3383,304913;1223,857093;118,6101882;1979,522378;61,31525326;;ors_old_2017_2019
2019;8;3651,795505;1371,558118;138,7283567;2103,196265;38,31276551;;ors_old_2017_2019
2019;9;3502,478185;1130,346547;128,3597283;2199,653823;44,11808607;;ors_old_2017_2019
2019;10;3639,942247;1309,826718;118,8019469;2162,424653;48,88892925;;ors_old_2017_2019
2019;11;3524,710419;1189,915358;110,2609615;2169,498504;55,03559624;;ors_old_2017_2019
2019;12;3402,232769;1111,788525;120,8822017;2124,959527;44,6025155;;ors_old_2017_2019
2020;1;3262,42655;1122,144266;69,56541931;2021,020047;49,69681774;;ors_old_2020_2021
2020;2;3199,268133;1102,721973;114,5271628;1933,053846;48,96514997;;ors_old_2020_2021
2020;3;3417,537967;1134,036423;131,0540753;2066,637807;85,80966125;;ors_old_2020_2021
2020;4;3573,479173;1025,261181;196,2699511;2310,041396;41,90664538;;ors_old_2020_2021
2020;5;3608,250746;1019,086695;155,8089562;2370,492814;62,86228058;;ors_old_2020_2021
2020;6;3536,458856;1141,095969;125,8399846;2203,298448;66,22445455;;ors_old_2020_2021
2020;7;3474,996052;1215,296155;107,3195112;2070,667384;81,7130011;;ors_old_2020_2021
2020;8;3514,029772;1169,816908;91,02918151;2194,764449;58,41923379;;ors_old_2020_2021
2020;9;3595,486097;1267,614339;158,3309563;2114,067007;55,47379426;;ors_old_2020_2021
2020;10;3561,806263;1294,393767;82,26363466;2143,504065;41,64479641;;ors_old_2020_2021
2020;11;3267,254175;1149,192296;84,00692891;1983,531795;50,5231554;;ors_old_2020_2021
2020;12;3661,968297;1215,60113;99,48785066;2266,47293;80,40638589;;ors_old_2020_2021
2021;1;3315,063497;1198,089565;89,96862693;1971,19313;55,81217505;;ors_old_2020_2021
2021;2;3537,800824;1307,709274;104,8381742;2082,141435;43,11194079;;ors_old_2020_2021
2021;3;3746,375514;1239,546638;80,07177277;2360,2845;66,47260324;;ors_old_2020_2021
2021;4;3580,889063;1115,782524;159,739616;2246,210465;59,15645823;;ors_old_2020_2021
2021;5;3717,853101;1346,287727;139,5152078;2193,470658;38,5795082;;ors_old_2020_2021
2021;6;3849,085403;1287,816064;105,9953759;2410,955584;44,31837909;;ors_old_2020_2021
2021;7;3374,922134;1185,773453;120,0760075;1997,679265;71,39340896;;ors_old_2020_2021
2021;8;3606,270291;1300,712244;98,85891064;2145,961724;60,73741199;;ors_old_2020_2021
2021;9;3482,605538;1140,756277;123,7319895;2145,404005;72,7132665;;ors_old_2020_2021
2021;10;3579,611323;1340,453034;76,62227388;2050,96261;111,5734052;;ors_old_2020_2021
2021;11;3608,590044;1305,241183;79,29952533;2146,553841;77,49549518;;ors_old_2020_2021
2021;12;3576,758278;1138,407374;71,8076906;2278,686557;87,85665648;;ors_old_2020_2021
2022;1;3443,416922;1036,477974;94,51777058;1664,361371;60,3961835;587,6636233;ors_old_2022
2022;2;3507,985834;1179,034139;98,48163525;1645,110087;58,00227953;527,357693;ors_old_2022
2022;3;3605,767263;1052,166386;122,1914413;1715,850973;59,40128486;656,1571783;ors_old_2022
2022;4;3966,061252;1396,8218;140,6286141;1651,006482;41,82468455;735,7796706;ors_old_2022
2022;5;3787,337976;1256,761175;167,552542;1589,988312;63,62775208;709,408195;ors_old_2022
2022;6;3913,475181;980,7544104;116,3717589;1935,421401;62,22204256;818,7055678;ors_old_2022
2022;7;3808,921996;1188,921084;101,9329367;1688,13081;61,27832497;768,6588405;ors_old_2022
2022;8;3931,734061;1135,824027;134,703042;1766,479139;101,0010656;793,7267877;ors_old_2022
2022;9;3645,122504;989,5439167;75,81713968;1725,97553;106,0837521;747,7021654;ors_old_2022
2022;10;4020,515595;1141,62221;66,81956222;1776,450458;106,4166318;929,2067328;ors_old_2022
2022;11;3955,244927;951,3193188;139,5370173;1764,728188;75,75953304;1023,90087;ors_old_2022
2022;12;3941,551907;1064,355599;118,5317181;1730,021259;62,24993841;966,3933929;ors_old_2022
2023;1;3709,836779;998,1718563;133,9614908;1707,148465;50,49487573;820,0600911;ors_old_2023
2023;2;3934,224363;1099,833279;117,7659502;1712,460918;59,71031364;944,4539026;ors_old_2023
2023;3;4045,304784;969,812603;97,42249139;1886,822647;38,70250487;1052,544538;ors_old_2023
2023;4;3853,317632;926,2372553;187,8132026;1752,620985;30,62222247;956,0239663;ors_old_2023
2023;5;4117,983948;1010,540217;168,3149041;1846,422985;71,73098072;1020,974861;ors_old_2023
2023;6;4163,593388;1054,880057;120,1618551;1816,412842;92,06343007;1080,075204;ors_old_2023
2023;7;4154,634267;990,4046541;144,2895291;1849,89784;55,63272902;1114,409516;ors_old_2023
2023;8;4106,925732;997,8118971;126,2856583;1733,310744;79,20016059;1170,317272;ors_old_2023
2023;9;4100,894745;859,9033792;144,0790219;1899,50037;76,05196623;1121,360008;ors_old_2023
2023;10;4169,74891;974,3378493;142,0454914;1749,702156;59,06122928;1244,602185;ors_old_2023
2023;11;4250,144319;1029,822635;161,6023781;1766,601219;76,92914188;1215,188946;ors_old_2023
2023;12;3982,048858;962,4239983;142,9224451;1635,103101;71,03443766;1170,564877;ors_old_2023
2010;1;2822,880062;706,1242285;297,4943683;1769,696246;49,56521976;;ors_new_2010_2012
2010;2;2752,131225;668,520802;331,5020085;1677,433736;74,67467845;;ors_new_2010_2012
2010;3;2580,739695;602,2923898;262,2482777;1646,603544;69,59548379;;ors_new_2010_2012
2010;4;2890,161161;753,1604378;287,2571886;1779,047245;70,69629008;;ors_new_2010_2012
2010;5;2754,239969;756,9969934;269,6268826;1645,908933;81,70715951;;ors_new_2010_2012
2010;6;2720,982587;845,077916;220,6093477;1588,844316;66,451007;;ors_new_2010_2012
2010;7;2930,517939;814,847443;257,5734879;1813,305448;44,79155907;;ors_new_2010_2012
2010;8;2931,395779;727,7255039;278,3721966;1839,515131;85,78294767;;ors_new_2010_2012
2010;9;2800,317934;795,8347486;242,338051;1677,718899;84,42623544;;ors_new_2010_2012
2010;10;2712,072251;764,389534;243,3813588;1661,07672;43,22463766;;ors_new_2010_2012
2010;11;2768,055908;701,4288535;266,475147;1765,279087;34,87282021;;ors_new_2010_2012
2010;12;2709,468484;645,4608424;278,9440538;1742,315653;42,74793464;;ors_new_2010_2012
2011;1;3005,263863;892,3048043;251,1475982;1797,945651;63,86580945;;ors_new_2010_2012
2011;2;3103,969082;791,3211424;287,0409031;1950,735592;74,87144496;;ors_new_2010_2012
2011;3;2967,689888;800,0018804;240,326749;1879,057685;48,30357425;;ors_new_2010_2012
2011;4;2990,204602;729,5080065;247,6992145;1927,272741;85,72464077;;ors_new_2010_2012
2011;5;3000,807107;767,9367213;272,2887542;1903,791307;56,79032454;;ors_new_2010_2012
2011;6;3004,092451;852,2298114;241,7717185;1841,607936;68,4829856;;ors_new_2010_2012
2011;7;3207,30837;973,1711883;233,0307246;1964,279147;36,82731054;;ors_new_2010_2012
2011;8;2983,534749;791,9116276;249,2519281;1873,827556;68,54363719;;ors_new_2010_2012
2011;9;3024,525853;726,3112623;261,2566933;1970,364267;66,59363042;;ors_new_2010_2012
2011;10;2985,853798;790,7492313;250,861328;1892,54002;51,70321856;;ors_new_2010_2012
2011;11;2890,013488;771,097909;216,9519767;1859,255131;42,70847144;;ors_new_2010_2012
2011;12;3006,980802;756,3633425;211,0110848;1959,918516;79,68785884;;ors_new_2010_2012
2012;1;3076,617893;736,4502099;279,7832623;2006,930939;53,45348082;;ors_new_2010_2012
2012;2;2733,902394;663,4109483;322,0926964;1707,239037;41,15971235;;ors_new_2010_2012
2012;3;2851,984984;687,420785;287,3832793;1816,677981;60,50293884;;ors_new_2010_2012
2012;4;2932,789721;696,4123228;291,4920541;1880,454427;64,43091699;;ors_new_2010_2012
2012;5;2939,291107;759,1009691;251,6945193;1875,916784;52,57883497;;ors_new_2010_2012
2012;6;2840,819644;853,0854312;297,1609908;1635,456092;55,11712913;;ors_new_2010_2012
2012;7;2956,70951;793,456707;318,4139286;1798,371253;46,46762167;;ors_new_2010_2012
2012;8;2932,40426;691,4860072;316,3735942;1870,350735;54,19392366;;ors_new_2010_2012
2012;9;2819,073072;699,7050069;232,6059856;1841,90758;44,854499;;ors_new_2010_2012
2012;10;2985,290082;769,819637;326,1917958;1836,190191;53,08845772;;ors_new_2010_2012
2012;11;2889,887886;664,1102717;244,1515337;1924,697537;56,9285434;;ors_new_2010_2012
2012;12;2965,159556;829,4171241;232,9243481;1858,530651;44,28743312;;ors_new_2010_2012
2013;1;2952,498368;856,6049146;121,9803787;1888,164203;85,74887242;;ors_new_2013_2015
2013;2;3056,216802;829,9491252;125,8899265;2043,924913;56,452837;;ors_new_2013_2015
2013;3;2908,584796;894,9454679;148,3741161;1813,549091;51,71612146;;ors_new_2013_2015
2013;4;3000,317772;839,6534518;155,8621763;1929,974385;74,82775934;;ors_new_2013_2015
