Year;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Source
2022;67616,29759;64223,17667;62959,70582;1263,47085;2042,609171;1356,639619;685,9695522;1350,511752;;;ORS_2023
2023;68537,07278;65647,15692;64457,20773;1189,949192;1748,523015;1198,020168;550,5028471;1141,392846;;;ORS_2023
2022;66988,96342;63611,52365;62345,94885;1265,574803;2042,758731;1357,156486;685,6022442;1334,681032;;;ORS_2022
2020;65832,93138;62633,21938;60925,30414;1707,915232;2245,867057;;;900,5482728;;53,29668025;ORS_2021
2021;66936,1113;63604,43007;62066,12535;1538,304722;2207,441707;;;1090,496967;;33,7425542;ORS_2021
2019;67108,96517;63601,38296;61719,74732;1881,635634;2655,107433;;;821,9944603;;30,48032179;ORS_2020
2020;65832,93138;62633,21938;60925,30414;1707,915232;2245,867057;;;900,5482728;;53,29668025;ORS_2020
2018;67577,25289;64381,19911;62280,65823;2100,540873;2558,535004;;;630,3469044;;7,1718766;ORS_2019
2019;67108,96517;63601,38296;61719,74732;1881,635634;2655,107433;;;821,9944603;;30,48032179;ORS_2019
2017;67519,7923;64262,18037;61948,27535;2313,905017;2633,142958;;;593,7098579;23,08589545;7,673224715;ORS_2018
2018;67577,25289;64353,53557;62280,36845;2073,167118;2558,535004;;;630,101071;27,37375459;7,1718766;ORS_2018
2017;67519,7923;64262,18037;61948,27535;2313,905017;2633,142958;;;593,7098579;23,08589545;7,673224715;ORS_2017
2015;67109,47455;63753,32521;61072,56066;2680,764553;2706,866437;;;616,664622;27,14188314;5,476399937;ORS_2016
2016;66968,36244;63813,53018;61346,19771;2467,33247;2513,07445;;;609,2416504;26,13162061;6,384540665;ORS_2016
2014;66378,31046;63082,95611;60443,52445;2639,431659;2655,186181;;;590,4442176;28,4048186;21,31912946;ORS_2015
2015;67109,47455;63753,32521;61072,56066;2680,764553;2706,866437;;;616,664622;27,14188314;5,476399937;ORS_2015
2013;66196,83032;62758,93946;60541,92589;2217,013573;2702,348214;;;714,8664899;20,67615178;;ORS_2014
2014;66378,31046;63082,95611;60443,52445;2639,431659;2655,186181;;;590,4442176;28,4048186;21,31912946;ORS_2014
2012;66597,82272;63300,79934;60939,64719;2361,152152;2490,041627;;;787,6932487;19,10776243;;ORS_2013
2013;66196,83032;62758,93946;60541,92589;2217,013573;2702,348214;;;714,8664899;20,67615178;;ORS_2013
2011;65827,24907;62838,04737;60341,21592;2496,831453;2312,076542;;;663,6740882;13,45107292;;ORS_2012
2012;66597,82272;63300,79934;60939,64719;2361,152152;2490,041627;;;787,6932487;19,10776243;;ORS_2012
2010;64998,263;62007,98943;59044,69094;2963,29849;2275,78584;;;693,13663;21,3511;;ORS_2011
2011;65668,94137;62633,17429;60111,18364;2521,990654;2353,991857;;;668,4947786;13,28044736;;ORS_2011
2009;64120,38618;60776,08855;57315,10658;3460,98197;2447,91259;;;875,483;20,90204;;ORS_2010
2010;64998,08407;62007,81055;59044,51195;2963,298593;2275,785769;;;693,1366666;21,35108429;;ORS_2010
2008;65774,44345;61540,08352;56531,53168;5008,55184;2775,14646;;;1459,21347;-;;ORS_2009
2009;64120,38556;60776,08873;57315,1073;3460,981426;2447,911899;;;875,482907;20,90202538;;ORS_2009
2022;67616;64223;62960;1263;2043;1357;686;1351;;;rab_sila_2024
2023;68537;65647;64457;1190;1749;1198;551;1141;;;rab_sila_2024
2008;65814;61630;56673;4957;2738;;;1446;;;rab_sila_2022
2009;64266;60982;57546;3436;2414;;;869;;;rab_sila_2022
2010;65158;62213;59284;2929;2257;;;688;;;rab_sila_2022
2011;65827;62851;60354;2497;2312;;;664;;;rab_sila_2022
2012;66598;63320;60959;2361;2490;;;788;;;rab_sila_2022
2013;66197;62780;60563;2217;2702;;;715;;;rab_sila_2022
2014;66378;63132;60493;2639;2655;;;590;;;rab_sila_2022
2015;67109;63786;61105;2681;2707;;;617;;;rab_sila_2022
2016;66968;63846;61379;2467;2513;;;609;;;rab_sila_2022
2017;67520;64293;61979;2314;2633;;;594;;;rab_sila_2022
2018;67577;64388;62315;2073;2559;;;630;;;rab_sila_2022
2019;67109;63632;61750;1882;2655;;;822;;;rab_sila_2022
2020;65833;62687;60979;1708;2246;;;901;;;rab_sila_2022
2021;66936;63638;62100;1538;2207;;;1091;;;rab_sila_2022
2006;63961;60364;55952;4412;2443;;;1154;;;rab_sila_2020
2007;65593;61751;57505;4246;2485;;;1357;;;rab_sila_2020
2008;65814;61630;56673;4957;2738;;;1446;;;rab_sila_2020
2009;64266;60982;57546;3436;2414;;;869;;;rab_sila_2020
2010;65158;62213;59284;2929;2257;;;688;;;rab_sila_2020
2011;65827;62851;60354;2497;2312;;;664;;;rab_sila_2020
2012;66598;63320;60959;2361;2490;;;788;;;rab_sila_2020
2013;66197;62780;60563;2217;2702;;;715;;;rab_sila_2020
2014;66378;63132;60493;2639;2655;;;590;;;rab_sila_2020
2015;67109;63786;61105;2681;2707;;;617;;;rab_sila_2020
2016;66968;63846;61379;2467;2513;;;609;;;rab_sila_2020
2017;67520;64293;61948;2345;2633;;;594;;;rab_sila_2020
2018;67577;64389;62281;2108;2559;;;630;;;rab_sila_2020
2019;67109;63632;61720;1912;2655;;;822;;;rab_sila_2020
2006;63961;60364;55952;4412;2443;;;1154;;;rab_sila_2018
2007;65593;61751;57505;4246;2485;;;1357;;;rab_sila_2018
2008;65814;61630;56673;4957;2738;;;1446;;;rab_sila_2018
2009;64266;60982;57546;3436;2414;;;869;;;rab_sila_2018
2010;65158;62213;59284;2929;2257;;;688;;;rab_sila_2018
2011;65827;62851;60354;2497;2312;;;664;;;rab_sila_2018
2012;66598;63320;60959;2361;2490;;;788;;;rab_sila_2018
2013;66197;62780;60563;2217;2702;;;715;;;rab_sila_2018
2014;66378;63132;60493;2639;2655;;;590;;;rab_sila_2018
2015;67109;63786;61105;2681;2707;;;617;;;rab_sila_2018
2016;66968;63846;61379;2467;2513;;;609;;;rab_sila_2018
2017;67412;64190;61880;2310;2629;;;593;;;rab_sila_2018
2006;63961;60364;55952;4412;2443;;;1154;;;rab_sila_2016
2007;65593;61751;57505;4246;2485;;;1357;;;rab_sila_2016
2008;65814;61630;56673;4957;2738;;;1446;;;rab_sila_2016
2009;64266;60982;57546;3436;2414;;;869;;;rab_sila_2016
2010;65158;62213;59284;2929;2257;;;688;;;rab_sila_2016
2011;65827;62851;60354;2497;2312;;;664;;;rab_sila_2016
2012;66598;63320;60959;2361;2490;;;788;;;rab_sila_2016
2013;66197;62780;60563;2217;2702;;;715;;;rab_sila_2016
2014;66378;63132;60493;2639;2655;;;590;;;rab_sila_2016
2015;67109;63786;61105;2681;2707;;;617;;;rab_sila_2016
2004;62274;59066;54816;4250;2333;;;876;;;rab_sila_2014
2005;63029;59539;55357;4182;2493;;;998;;;rab_sila_2014
2006;63961;60364;55952;4412;2443;;;1154;;;rab_sila_2014
2007;65593;61751;57505;4246;2485;;;1357;;;rab_sila_2014
2008;65814;61630;56673;4957;2738;;;1446;;;rab_sila_2014
2009;64266;60982;57546;3436;2414;;;869;;;rab_sila_2014
2010;65158;62213;59284;2929;2257;;;688;;;rab_sila_2014
2011;65827;62851;60354;2497;2312;;;664;;;rab_sila_2014
2012;66598;63320;60959;2361;2490;;;788;;;rab_sila_2014
2013;66197;62780;60563;2217;2702;;;715;;;rab_sila_2014
2003;61435;58396;54069;4327;2050;;;989;;;rab_sila_2013
2004;62274;59066;54816;4250;2333;;;876;;;rab_sila_2013
2005;63029;59539;55357;4182;2493;;;998;;;rab_sila_2013
2006;63961;60364;55952;4412;2443;;;1154;;;rab_sila_2013
2007;65593;61751;57505;4246;2485;;;1357;;;rab_sila_2013
2008;65814;61630;56673;4957;2738;;;1446;;;rab_sila_2013
2009;64266;60961;57525;3436;2414;;;869;21;;rab_sila_2013
2010;65158;62191;59262;2929;2257;;;688;22;;rab_sila_2013
2011;65827;62838;60341;2497;2312;;;664;13;;rab_sila_2013
2012;66598;63301;60940;2361;2490;;;788;19;;rab_sila_2013
2001;60585;58780;56227;2553;1323;;;481;;;rab_sila_2010
2002;61520;59774;57542;2232;1175;;;572;;;rab_sila_2010
2003;62226;58918;54293;4625;2223;;;1085;;;rab_sila_2010
2004;62590;59252;55225;4027;2422;;;915;;;rab_sila_2010
2005;63614;60227;55976;4251;2473;;;914;;;rab_sila_2010
2006;64551;60950;56832;4118;2338;;;1262;;;rab_sila_2010
2007;66183;62327;58322;4005;2481;;;1375;;;rab_sila_2010
2008;65639;61362;56666;4696;2727;;;1551;;;rab_sila_2010
2009;64560;61673;58394;3279;2171;;;710;;;rab_sila_2010
2000;59329;58193;56241;1952;313;;;823;;;rab_sila_2008
2001;60585;58780;56227;2553;1323;;;481;;;rab_sila_2008
2002;61520;59774;57542;2232;1175;;;572;;;rab_sila_2008
2003;62226;58918;54293;4625;2223;;;1085;;;rab_sila_2008
2004;62590;59252;55225;4027;2422;;;915;;;rab_sila_2008
2005;63614;60227;55976;4251;2473;;;914;;;rab_sila_2008
2006;64551;60950;56832;4118;2338;;;1262;;;rab_sila_2008
2007;66183;62327;58322;4005;2481;;;1375;;;rab_sila_2008
1999;57369;56238;54254;1984;322;;;809;;;rab_sila_2006
2000;59329;58193;56241;1952;313;;;823;;;rab_sila_2006
2001;60585;58780;56227;2553;1323;;;481;;;rab_sila_2006
2002;61520;59774;57542;2232;1175;;;572;;;rab_sila_2006
2003;62226;58918;54293;4625;2223;;;1085;;;rab_sila_2006
2004;62590;59252;55225;4027;2422;;;915;;;rab_sila_2006
1999;56906;55774;53775;1999;325;;;807;;;rab_sila_2002
2000;58476;57354;55474;1880;304;;;817;;;rab_sila_2002
2001;60126;58310;55724;2586;1328;;;489;;;rab_sila_2002
2022;66989;63612;62346;1266;2043;1357;686;1335;;;trud_2023
2017;67520;64285;61948;2337;2633;;;594;;8;trud_2021
2018;67577;64382;62281;2101;2559;;;630;;7;trud_2021
2019;67109;63602;61720;1882;2655;;;822;;30;trud_2021
2020;65833;62633;60925;1708;2246;;;901;;53;trud_2021
2017;67520;64262;61948;2314;2633;;;594;23;8;trud_2019
2018;67577;64353;62280;2073;2559;;;630;27;7;trud_2019
2005;63029;59539;55357;4182;2493;;;998;;;trud_2017
2010;65158;62213;59284;2929;2257;;;688;;;trud_2017
2014;66378;63132;60493;2639;2655;;;590;;;trud_2017
2015;67109;63786;61105;2681;2707;;;617;;;trud_2017
2016;66968;63846;61379;2467;2513;;;609;;;trud_2017
2005;63029;59539;55357;4182;2493;;;998;;;trud_2015
2010;65158;62213;59284;2929;2257;;;688;;;trud_2015
2011;65827;62851;60354;2497;2312;;;664;;;trud_2015
2012;66598;63320;60959;2361;2490;;;788;;;trud_2015
2013;66197;62780;60563;2217;2702;;;715;;;trud_2015
2014;66378;63132;60493;2639;2655;;;590;;;trud_2015
2010;65157,9204;62191,36648;59262,26984;2929,096638;2256,617244;;;688,2733835;21,66329762;;ors_new_2010_2012
2011;65827,24907;62838,04737;60341,21592;2496,831453;2312,076542;;;663,6740882;13,45107292;;ors_new_2010_2012
2012;66597,75255;63300,90991;60939,64719;2361,262719;2490,041627;;;787,6932487;19,10776243;;ors_new_2010_2012
2013;66273,43147;62829,66129;60616,98301;2212,678275;2705,478434;;;717,5235388;20,76821214;;ors_new_2013_2015
2014;66514,72892;63213,32162;60578,49915;2634,822471;2658,879613;;;592,6440071;28,53374608;21,34993224;ors_new_2013_2015
2015;67245,9387;63886,69701;61212,57446;2674,122559;2707,064997;;;619,2117022;27,51998261;5,445004808;ors_new_2013_2015
2016;67239,01236;64078,4635;61615,56289;2462,90061;2515,225254;;;612,6101367;26,32750806;6,385958738;ors_new_2016
2017;67858,09818;64593,00543;62281,97332;2311,032106;2636,69701;;;597,6635796;23,13294202;7,599221823;ors_new_2017_2019
2018;67972,97997;64741,32743;62660,65175;2080,675681;2561,493253;;;635,4348813;27,51685016;7,207550141;ors_new_2017_2019
2019;67537,14534;64019,2222;62125,95682;1893,265384;2658,887777;;;828,1698728;;30,86548519;ors_new_2017_2019
2020;66310,98446;63099,5942;61383,2664;1716,327805;2248,11789;;;909,305248;;53,9671167;ors_new_2020_2021
2021;67475,30362;64134,44489;62588,88774;1545,557154;2206,804284;;;1099,636873;;34,41757504;ors_new_2020_2021
2022;67687,79371;64223,17667;;;2105,143398;;;1359,473643;;;ors_new_2022
2023;68601,61343;65647,15692;;;1802,935328;;;1151,521184;;;ors_new_2023
2010;65157,9204;62191,36648;59262,26984;2929,096638;2256,617244;;;688,2733835;21,66329762;;ors_old_2010_2016
2011;65827,24907;62838,04737;60341,21592;2496,831453;2312,076542;;;663,6740882;13,45107292;;ors_old_2010_2016
2012;66597,75255;63300,90991;60939,64719;2361,262719;2490,041627;;;787,6932487;19,10776243;;ors_old_2010_2016
2013;66196,83032;62758,93946;60541,92589;2217,013573;2702,348214;;;714,8664899;20,67615178;;ors_old_2010_2016
2014;66378,31046;63082,95611;60443,52445;2639,431659;2655,186181;;;590,4442176;28,4048186;21,31912946;ors_old_2010_2016
2015;67109,47455;63753,32521;61072,56066;2680,764553;2706,866437;;;616,664622;27,14188314;5,476399937;ors_old_2010_2016
2016;66968,36244;63813,53018;61346,19771;2467,33247;2513,07445;;;609,2416504;26,13162061;6,384540666;ors_old_2010_2016
2017;67519,7923;64262,18037;61948,27535;2313,905017;2633,142958;;;593,7098579;23,08589545;7,673224715;ors_old_2017_2019
2018;67576,71727;64353,53557;62280,36845;2073,167118;2558,535004;;;630,101071;27,37375459;7,1718766;ors_old_2017_2019
2019;67108,96517;63601,38296;61719,74732;1881,635634;2655,107433;;;821,9944603;;30,48032179;ors_old_2017_2019
2020;65832,93138;62633,21938;60925,30414;1707,915232;2245,867057;;;900,5482728;;53,29668025;ors_old_2020_2021
2021;66936,1113;63604,43007;62066,12535;1538,304722;2207,441707;;;1090,496967;;33,7425542;ors_old_2020_2021
2022;67060,57111;63611,52365;;;2105,408193;;;1343,639258;;;ors_old_2022
2023;68601,61343;65647,15692;;;1802,935328;;;1151,521184;;;ors_old_2023
1999;56115,32668;54922,11705;52794,14154;2127,975516;362,3564372;;;830,8531868;;;GKS_1
2000;58512,34423;57357,36645;55308,51555;2048,850893;348,7638163;;;806,2139665;;;GKS_1
2001;59852,86805;58066,65353;55531,90636;2534,747167;1274,990212;;;511,2243092;;;GKS_1
2002;61477,03904;59613,0213;57120,8709;2492,150409;1328,927008;;;535,0907271;;;GKS_1
2003;61434,72518;58396,01341;54069,0101;4327,003306;2050,119921;;;988,5918535;;;GKS_1
2004;62274,301;59065,63596;54816,12833;4249,507625;2332,588731;;;876,076308;;;GKS_1
2005;63029,31639;59538,99788;55357,46199;4181,535897;2492,618666;;;997,6998415;;;GKS_1
2006;63961,00562;60363,59384;55951,73054;4411,863295;2443,485395;;;1153,926388;;;GKS_1
2007;65592,51938;61750,67082;57505,16809;4245,502725;2485,278091;;;1356,570466;;;GKS_1
2008;65814,07028;61630,1784;56672,82193;4957,356473;2738,249839;;;1445,642043;;;GKS_1
2009;64265,5517;60960,85196;57524,99196;3435,859997;2414,104244;;;869,1521037;21,44339369;;GKS_1
2003;61434,72518;58396,01341;54069,0101;4327,003306;2050,119921;;;988,5918535;;;GKS_2
2004;62274,301;59065,63596;54816,12833;4249,507625;2332,588731;;;876,076308;;;GKS_2
2005;63029,31639;59538,99788;55357,46199;4181,535897;2492,618666;;;997,6998415;;;GKS_2
2006;63961,00562;60363,59384;55951,73054;4411,863295;2443,485395;;;1153,926388;;;GKS_2
2007;65592,51938;61750,67082;57505,16809;4245,502725;2485,278091;;;1356,570466;;;GKS_2
2008;65814,07028;61630,1784;56672,82193;4957,356473;2738,249839;;;1445,642043;;;GKS_2
2009;64265,5517;60982,29536;57546,43536;3435,859997;2414,104244;;;869,1521037;;;GKS_2
