Year;Quarter;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Source
2022;1;67528,53591;63961,54273;62628,42439;1333,118347;2051,414064;1334,6864;716,7276646;1515,579108;;;ORS_2023
2022;2;67380,82528;63848,37066;62632,80201;1215,568647;2137,875942;1425,088365;712,7875773;1394,578676;;;ORS_2023
2022;3;67747,58478;64350,31701;63063,79624;1286,520777;2093,061156;1386,306467;706,7546895;1304,20661;;;ORS_2023
2022;4;67808,24439;64732,47626;63513,80063;1218,675628;1888,085521;1280,477243;607,6082775;1187,682614;;;ORS_2023
2023;1;68118,36275;65162,87906;64078,08335;1084,795705;1797,108515;1304,442905;492,6656096;1158,375177;;;ORS_2023
2023;2;68278,39588;65428,5141;64272,24943;1156,264666;1826,963681;1314,423412;512,540269;1022,9181;;;ORS_2023
2023;3;68704,5397;65747,39126;64446,77658;1300,614686;1883,23364;1211,76427;671,4693702;1073,914794;;;ORS_2023
2023;4;69046,9928;66249,84327;65031,72155;1218,121711;1486,786225;961,4500859;525,3361395;1310,363313;;;ORS_2023
2022;1;66892,36083;63348,56898;62016,73192;1331,837055;2049,390047;1334,469181;714,9208666;1494,401807;;;ORS_2022
2022;2;66765,45036;63241,52764;62022,20179;1219,325844;2140,497262;1426,782914;713,7143483;1383,425463;;;ORS_2022
2022;3;67112,98617;63734,76963;62448,12884;1286,640787;2091,867901;1384,785609;707,0822917;1286,348645;;;ORS_2022
2022;4;67185,0563;64121,22838;62896,73285;1224,495525;1889,279712;1282,588242;606,6914703;1174,548211;;;ORS_2022
2020;1;66768,36522;63503,49662;61739,28093;1764,21569;2319,934712;;;905,595284;;39,33859579;ORS_2021
2020;2;65257,19047;62306,60962;60722,9089;1583,700722;2022,428863;;;857,9023406;;70,24964132;ORS_2021
2020;3;65420,1113;62062,54222;60278,75529;1783,786926;2360,755303;;;947,1603235;;49,65344871;ORS_2021
2020;4;65886,05856;62660,22903;60960,27144;1699,95759;2280,349349;;;891,535143;;53,94503517;ORS_2021
2021;1;66210,589;62888,13364;61190,18042;1697,953223;2142,570137;;;1147,694247;;32,19097729;ORS_2021
2021;2;66499,22571;63080,89292;61492,10356;1588,78936;2330,387215;;;1057,983014;;29,96256571;ORS_2021
2021;3;67384,44542;63960,66528;62453,65265;1507,012631;2319,721676;;;1063,417366;;40,64109749;ORS_2021
2021;4;67650,18506;64488,02845;63128,56477;1359,463676;2037,087799;;;1092,89324;;32,17557632;ORS_2021
2019;1;66778,08536;63520,98239;61770,20696;1750,775427;2504,604133;;;723,4008494;;29,09798487;ORS_2020
2019;2;66667,38754;62955,04207;61007,22129;1947,820785;2853,545993;;;827,1276015;;31,67187485;ORS_2020
2019;3;67414,25128;63809,26455;61885,45492;1923,809633;2720,159086;;;850,4803117;;34,34733536;ORS_2020
2019;4;67576,1365;64120,24281;62216,10612;1904,136692;2542,120518;;;886,9690784;;26,80409206;ORS_2020
2020;1;66768,36522;63503,49662;61739,28093;1764,21569;2319,934712;;;905,595284;;39,33859579;ORS_2020
2020;2;65257,19047;62306,60962;60722,9089;1583,700722;2022,428863;;;857,9023406;;70,24964132;ORS_2020
2020;3;65420,1113;62062,54222;60278,75529;1783,786926;2360,755303;;;947,1603235;;49,65344871;ORS_2020
2020;4;65886,05856;62660,22903;60960,27144;1699,95759;2280,349349;;;891,535143;;53,94503517;ORS_2020
2018;1;67214,60037;64188,147;62210,82081;1977,32619;2429,614159;;;586,415455;;10,42375595;ORS_2019
2018;2;67426,2154;64176,31979;62256,73481;1919,58498;2581,217347;;;662,49906;;6,179204239;ORS_2019
2018;3;67922,38129;64516,80662;62306,47793;2210,32868;2762,555801;;;633,1856657;;9,83320432;ORS_2019
2018;4;67745,8145;64643,52302;62348,59938;2294,923641;2460,752708;;;639,2874368;;2,25134189;ORS_2019
2019;1;66778,08536;63520,98239;61770,20696;1750,775427;2504,604133;;;723,4008494;;29,09798487;ORS_2019
2019;2;66667,38754;62955,04207;61007,22129;1947,820785;2853,545993;;;827,1276015;;31,67187485;ORS_2019
2019;3;67414,25128;63809,26455;61885,45492;1923,809633;2720,159086;;;850,4803117;;34,34733536;ORS_2019
2019;4;67576,1365;64120,24281;62216,10612;1904,136692;2542,120518;;;886,9690784;;26,80409206;ORS_2019
2017;1;67339,68228;64316,51422;61628,47264;2688,041571;2444,444717;;;547,0209526;25,63740625;6,064983416;ORS_2018
2017;2;67311,33885;64097,92983;61955,18841;2142,741422;2573,359148;;;603,0771298;24,59077407;12,38196365;ORS_2018
2017;3;67714,62294;64180,32289;61888,96653;2291,356361;2919,187489;;;592,6816509;16,80339711;5,627510341;ORS_2018
2017;4;67713,52515;64453,95453;62320,47382;2133,480712;2595,580478;;;632,0596984;25,31200437;6,618441457;ORS_2018
2018;1;67214,60037;64157,11798;62210,82081;1946,297174;2429,614159;;;586,415455;31,02901601;10,42375595;ORS_2018
2018;2;67426,2154;64155,62639;62256,73481;1898,891577;2581,217347;;;662,05256;20,69340317;6,179204239;ORS_2018
2018;3;67922,38129;64489,07187;62305,31879;2183,753076;2762,555801;;;633,1856657;26,57560494;9,83320432;ORS_2018
2018;4;67745,8145;64612,32602;62348,59938;2263,726646;2460,752708;;;638,7506035;31,19699424;2,25134189;ORS_2018
2017;1;67339,68228;64316,51422;61628,47264;2688,041571;2444,444717;;;547,0209526;25,63740625;6,064983416;ORS_2017
2017;2;67311,33885;64097,92983;61955,18841;2142,741422;2573,359148;;;603,0771298;24,59077407;12,38196365;ORS_2017
2017;3;67714,62294;64180,32289;61888,96653;2291,356361;2919,187489;;;592,6816509;16,80339711;5,627510341;ORS_2017
2017;4;67713,52515;64453,95453;62320,47382;2133,480712;2595,580478;;;632,0596984;25,31200437;6,618441457;ORS_2017
2015;1;66728,04028;63521,56883;60851,35242;2670,216416;2596,556789;;;576,3216151;27,78923628;5,803805375;ORS_2016
2015;2;66928,80486;63367,7149;60775,26029;2592,454604;2822,385943;;;701,3246489;30,94586373;6,433512454;ORS_2016
2015;3;67490,39338;64059,84156;61294,30035;2765,541214;2804,472094;;;594,6554987;24,66587725;6,758341393;ORS_2016
2015;4;67290,6597;64064,17556;61369,32958;2694,845978;2604,050922;;;594,3567252;25,16655528;2,909940525;ORS_2016
2016;1;66400,88628;63414,06605;61004,85843;2409,207619;2375,66623;;;579,0132982;24,11192814;8,028775014;ORS_2016
2016;2;66637,78949;63469,67885;61020,893;2448,785841;2511,737364;;;611,8758948;38,22338873;6,273996675;ORS_2016
2016;3;67381,90149;64066,14469;61495,96353;2570,181167;2672,869955;;;611,4660297;23,51020928;7,910603415;ORS_2016
2016;4;67452,87252;64304,23114;61863,07589;2441,155254;2492,024251;;;634,6113787;18,68095628;3,324787558;ORS_2016
2014;1;65947,04014;62808,81297;60161,22961;2647,583365;2497,013867;;;598,1440046;26,42785945;16,64143435;ORS_2015
2014;2;66111,60652;62962,80099;60509,79212;2453,008867;2512,538391;;;584,5920971;28,44240006;23,23264097;ORS_2015
2014;3;66551,20687;63032,59995;60277,23799;2755,36196;2888,197275;;;579,7382028;32,20681906;18,4646196;ORS_2015
2014;4;66903,38831;63527,61053;60825,83809;2701,772443;2722,995192;;;599,3025659;26,54219582;26,93782294;ORS_2015
2015;1;66728,04028;63521,56883;60851,35242;2670,216416;2596,556789;;;576,3216151;27,78923628;5,803805375;ORS_2015
2015;2;66928,80486;63367,7149;60775,26029;2592,454604;2822,385943;;;701,3246489;30,94586373;6,433512454;ORS_2015
2015;3;67490,39338;64059,84156;61294,30035;2765,541214;2804,472094;;;594,6554987;24,66587725;6,758341393;ORS_2015
2015;4;67290,6597;64064,17556;61369,32958;2694,845978;2604,050922;;;594,3567252;25,16655528;2,909940525;ORS_2015
2013;1;66177,23616;62825,41532;60519,79109;2305,624237;2592,366216;;;736,5472746;22,90734654;;ORS_2014
2013;2;66166,43742;62750,74433;60561,41321;2189,331128;2699,182873;;;694,8312382;21,67897222;;ORS_2014
2013;3;66266,03311;62704,08144;60552,74253;2151,338906;2869,941387;;;669,2575075;22,75278051;;ORS_2014
2013;4;66177,61457;62755,51674;60533,75672;2221,760021;2647,90238;;;758,8299393;15,36550784;;ORS_2014
2014;1;65947,04014;62808,81297;60161,22961;2647,583365;2497,013867;;;598,1440046;26,42785945;16,64143435;ORS_2014
2014;2;66111,60652;62962,80099;60509,79212;2453,008867;2512,538391;;;584,5920971;28,44240006;23,23264097;ORS_2014
2014;3;66551,20687;63032,59995;60277,23799;2755,36196;2888,197275;;;579,7382028;32,20681906;18,4646196;ORS_2014
2014;4;66903,38831;63527,61053;60825,83809;2701,772443;2722,995192;;;599,3025659;26,54219582;26,93782294;ORS_2014
2012;1;65447,57758;62337,12419;59760,06134;2577,062853;2378,318811;;;714,7816148;17,35295797;;ORS_2013
2012;2;66936,52463;63706,61829;61208,89263;2497,725659;2380,351992;;;829,7019635;19,85239152;;ORS_2013
2012;3;67085,8071;63495,93516;61206,77668;2289,158484;2760,991982;;;812,9733152;15,90663916;;ORS_2013
2012;4;66921,38158;63663,51973;61582,85812;2080,661614;2440,503721;;;793,3161011;23,31906106;;ORS_2013
2013;1;66177,23616;62825,41532;60519,79109;2305,624237;2592,366216;;;736,5472746;22,90734654;;ORS_2013
2013;2;66166,43742;62750,74433;60561,41321;2189,331128;2699,182873;;;694,8312382;21,67897222;;ORS_2013
2013;3;66266,03311;62704,08144;60552,74253;2151,338906;2869,941387;;;669,2575075;22,75278051;;ORS_2013
2013;4;66177,61457;62755,51674;60533,75672;2221,760021;2647,90238;;;758,8299393;15,36550784;;ORS_2013
2011;1;64750,31892;61957,67107;59162,35383;2795,317238;2135,242504;;;642,6222661;14,78307789;;ORS_2012
2011;2;65799,50857;62752,25782;60240,85917;2511,398649;2351,970152;;;682,6691176;12,6114828;;ORS_2012
2011;3;66391,67592;63291,13992;60809,07515;2482,064775;2421,11921;;;662,7637235;16,65306844;;ORS_2012
2011;4;66367,49288;63351,12067;61152,57552;2198,545149;2339,974303;;;666,6412456;9,756662559;;ORS_2012
2012;1;65447,57758;62337,12419;59760,06134;2577,062853;2378,318811;;;714,7816148;17,35295797;;ORS_2012
2012;2;66936,52463;63706,61829;61208,89263;2497,725659;2380,351992;;;829,7019635;19,85239152;;ORS_2012
2012;3;67085,8071;63495,93516;61206,77668;2289,158484;2760,991982;;;812,9733152;15,90663916;;ORS_2012
2012;4;66921,38158;63663,51973;61582,85812;2080,661614;2440,503721;;;793,3161011;23,31906106;;ORS_2012
2010;1;63699,62625;60882,90685;57665,29013;3217,61672;2055,6456;;;733,46968;27,60412;;ORS_2011
2010;2;65109,22905;62137,70015;58928,14151;3209,55864;2216,68152;;;727,74537;27,10201;;ORS_2011
2010;3;65563,67975;62212,211;59325,50885;2886,70215;2599,79925;;;733,94078;17,72872;;ORS_2011
2010;4;65620,55239;62799,17499;60259,85844;2539,31655;2231,01739;;;577,3903;12,96971;;ORS_2011
2011;1;64634,05697;61795,266;58979,13464;2816,13136;2177,41488;;;645,9293077;15,44678024;;ORS_2011
2011;2;65645,13144;62544,76908;60006,6459;2538,123178;2396,438131;;;691,9248869;11,99935058;;ORS_2011
2011;3;66215,63763;63058,79973;60556,77501;2502,024715;2469,911657;;;670,0776514;16,84859107;;ORS_2011
2011;4;66180,93945;63133,86236;60902,17899;2231,683361;2372,202759;;;666,0472682;8,827067555;;ORS_2011
2009;4;64713,37251;61657,75998;58193,66951;3464,09047;2234,1473;;;801,07672;20,38851;;ORS_2010
2010;1;63699,62625;60882,90685;57665,29013;3217,61672;2055,6456;;;733,46968;27,60412;;ORS_2010
2010;2;65108,70486;62137,17596;58927,61732;3209,55864;2216,68152;;;727,74537;27,10201;;ORS_2010
2010;3;65563,46225;62211,9935;59325,29135;2886,70215;2599,79925;;;733,94078;17,72872;;ORS_2010
2010;4;65620,55567;62799,17823;60259,8619;2539,316333;2231,017437;;;577,3903063;12,96969716;;ORS_2010
2009;4;64713,36728;61657,75549;58193,66579;3464,089697;2234,146742;;;801,0765244;20,38852417;;ORS_2009
2010;1;63878,23638;61078,97305;57899,88577;3179,087281;2036,039073;;;735,9755347;27,2487237;;ors_new_2010_2012
2010;2;65235,42095;62302,29704;59147,72393;3154,57311;2185,588952;;;719,7047769;27,83017964;;ors_new_2010_2012
2010;3;65715,08866;62393,18907;59538,32212;2854,866946;2582,329518;;;720,6467643;18,92331657;;ors_new_2010_2012
2010;4;65802,93561;62991,00675;60463,14754;2527,859217;2222,511432;;;576,7664579;12,65097057;;ors_new_2010_2012
2011;1;64750,31892;61957,67107;59162,35383;2795,317238;2135,242504;;;642,6222661;14,78307789;;ors_new_2010_2012
2011;2;65799,50857;62752,25782;60240,85917;2511,398649;2351,970152;;;682,6691176;12,6114828;;ors_new_2010_2012
2011;3;66391,67592;63291,13992;60809,07515;2482,064775;2421,11921;;;662,7637235;16,65306844;;ors_new_2010_2012
2011;4;66367,49288;63351,12067;61152,57552;2198,545149;2339,974303;;;666,6412456;9,756662559;;ors_new_2010_2012
2012;1;65447,57758;62337,12419;59760,06134;2577,062853;2378,318811;;;714,7816148;17,35295797;;ors_new_2010_2012
2012;2;66936,52463;63706,61829;61208,89263;2497,725659;2380,351992;;;829,7019635;19,85239152;;ors_new_2010_2012
2012;3;67085,8071;63495,93516;61206,77668;2289,158484;2760,991982;;;812,9733152;15,90663916;;ors_new_2010_2012
2012;4;66921,10088;63663,962;61582,85812;2081,103881;2440,503721;;;793,3161011;23,31906106;;ors_new_2010_2012
2013;1;66254,78167;62897,33674;60594,1687;2303,168046;2595,434078;;;739,1268098;22,88403572;;ors_new_2013_2015
2013;2;66247,32804;62826,25674;60641,72388;2184,532859;2701,866926;;;697,4451226;21,75925761;;ors_new_2013_2015
2013;3;66340,62745;62772,79791;60626,11759;2146,680321;2872,788584;;;672,2634847;22,77746935;;ors_new_2013_2015
2013;4;66250,98872;62822,25375;60605,92188;2216,331873;2651,824147;;;761,258738;15,65208587;;ors_new_2013_2015
2014;1;66083,56542;62938,63757;60298,82434;2639,813238;2500,995896;;;600,7295453;26,5357699;16,66663395;ors_new_2013_2015
2014;2;66250,62347;63097,84319;60647,03703;2450,80616;2514,818819;;;586,1456403;28,56030068;23,25551587;ors_new_2013_2015
2014;3;66683,78419;63157,86609;60406,6461;2751,219994;2892,849951;;;582,1789978;32,36918183;18,51996722;ors_new_2013_2015
2014;4;67040,94258;63658,93961;60961,48912;2697,450492;2726,853786;;;601,5218452;26,66973191;26,95761191;ors_new_2013_2015
2015;1;66861,27987;63652,637;60989,5605;2663,076499;2595,45697;;;579,1139487;28,28987329;5,782073007;ors_new_2013_2015
2015;2;67073,67367;63509,97029;60922,52547;2587,444816;2822,371775;;;703,5927969;31,30959552;6,429216916;ors_new_2013_2015
2015;3;67624,467;64192,32602;61433,99602;2758,329998;2803,05099;;;597,5440053;24,89210171;6,653884041;ors_new_2013_2015
2015;4;67424,33426;64191,85474;61504,21582;2687,638922;2607,380252;;;596,5960579;25,58835992;2,914845269;ors_new_2013_2015
2016;1;66670,89459;63679,70214;61275,08404;2404,618102;2377,613287;;;581,3059391;24,10385623;8,169369078;ors_new_2016
2016;2;66902,07355;63726,03939;61288,35832;2437,681069;2515,431482;;;615,4818982;38,91175814;6,209022272;ors_new_2016
2016;3;67648,17711;64328,29872;61756,7682;2571,530528;2674,002451;;;614,5011298;23,5505451;7,824256787;ors_new_2016
2016;4;67734,90418;64579,81374;62142,041;2437,772739;2493,853798;;;639,1515798;18,74387275;3,341186814;ors_new_2016
2017;1;67664,2942;64632,56776;61944,30783;2688,259935;2450,534278;;;549,6229286;25,4906857;6,078546905;ors_new_2017_2019
2017;2;67651,35172;64433,02723;62294,62359;2138,403644;2575,786936;;;605,4154951;24,77797247;12,34408432;ors_new_2017_2019
2017;3;68049,27066;64510,72099;62223,95845;2286,762538;2919,827911;;;596,2738966;16,92467889;5,523186431;ors_new_2017_2019
2017;4;68067,47615;64795,70574;62665,00343;2130,702307;2600,638914;;;639,3419979;25,33843104;6,451069634;ors_new_2017_2019
2018;1;67605,0983;64539,44238;62589,55575;1949,886629;2433,58125;;;590,5426213;31,18067252;10,35137177;ors_new_2017_2019
2018;2;67824,77263;64539,61414;62635,76916;1903,844978;2589,218407;;;668,8026679;20,88187394;6,255538354;ors_new_2017_2019
2018;3;68316,62178;64877,41156;62683,67179;2193,739769;2764,088142;;;638,5183026;26,57683738;10,02694061;ors_new_2017_2019
2018;4;68145,42716;65008,84165;62733,6103;2275,231348;2459,085213;;;643,8759336;31,4280168;2,19634983;ors_new_2017_2019
2019;1;67202,93291;63937,44415;62181,94278;1755,501378;2506,474576;;;729,3785576;;29,63562499;ors_new_2017_2019
2019;2;67089,50199;63364,70736;61403,98905;1960,718303;2860,588786;;;832,0938464;;32,11199805;ors_new_2017_2019
2019;3;67848,64348;64235,88079;62297,74508;1938,135709;2721,672437;;;856,514909;;34,57534539;ors_new_2017_2019
2019;4;68007,50297;64538,8565;62620,15036;1918,706145;2546,81531;;;894,6921783;;27,13897232;ors_new_2017_2019
2020;1;67257,10292;63982,10583;62209,90871;1772,197126;2319,513933;;;915,8125093;;39,67064436;ors_new_2020_2021
2020;2;65721,4036;62760,70172;61166,74277;1593,958954;2027,562175;;;862,0852614;;71,05443933;ors_new_2020_2021
2020;3;65892,4355;62523,51116;60730,20336;1793,307802;2360,220743;;;958,5406708;;50,16292776;ors_new_2020_2021
2020;4;66372,99581;63132,05809;61426,21076;1705,847337;2285,17471;;;900,7825506;;54,98045536;ors_new_2020_2021
2021;1;66732,21029;63398,71297;61695,07833;1703,634641;2140,313958;;;1160,142283;;33,04107766;ors_new_2020_2021
2021;2;67064,7632;63639,38245;62045,80701;1593,575436;2329,135667;;;1065,446084;;30,79899895;ors_new_2020_2021
2021;3;67934,78134;64502,00823;62979,24464;1522,763591;2321,981702;;;1069,752101;;41,0393016;ors_new_2020_2021
2021;4;68169,45966;64997,6759;63635,42096;1362,254947;2035,785808;;;1103,207025;;32,79092195;ors_new_2020_2021
2022;1;67598,50221;63961,54273;;;2114,104242;;;1522,855232;;;ors_new_2022
2022;2;67457,92545;63848,37066;;;2203,44064;;;1406,114144;;;ors_new_2022
2022;3;67806,54214;64350,31701;;;2146,468498;;;1309,75663;;;ors_new_2022
2022;4;67888,20504;64732,47626;;;1956,560213;;;1199,168565;;;ors_new_2022
2023;1;68178,48772;65162,87906;;;1849,947164;;;1165,661499;;;ors_new_2023
2023;2;68341,29811;65428,5141;;;1880,986123;;;1031,797891;;;ors_new_2023
2023;3;68775,12597;65747,39126;;;1946,052032;;;1081,682674;;;ors_new_2023
2023;4;69111,54193;66249,84327;;;1534,755993;;;1326,942674;;;ors_new_2023
2010;1;63878,23638;61078,97305;57899,88577;3179,087281;2036,039073;;;735,9755347;27,2487237;;ors_old_2010_2016
2010;2;65235,42095;62302,29704;59147,72393;3154,57311;2185,588952;;;719,7047769;27,83017964;;ors_old_2010_2016
2010;3;65715,08866;62393,18907;59538,32212;2854,866946;2582,329518;;;720,6467643;18,92331657;;ors_old_2010_2016
2010;4;65802,93561;62991,00675;60463,14754;2527,859217;2222,511432;;;576,7664579;12,65097057;;ors_old_2010_2016
2011;1;64750,31892;61957,67107;59162,35383;2795,317238;2135,242504;;;642,6222661;14,78307789;;ors_old_2010_2016
2011;2;65799,50857;62752,25782;60240,85917;2511,398649;2351,970152;;;682,6691176;12,6114828;;ors_old_2010_2016
2011;3;66391,67592;63291,13992;60809,07515;2482,064775;2421,11921;;;662,7637235;16,65306844;;ors_old_2010_2016
2011;4;66367,49288;63351,12067;61152,57552;2198,545149;2339,974303;;;666,6412456;9,756662559;;ors_old_2010_2016
2012;1;65447,57758;62337,12419;59760,06134;2577,062853;2378,318811;;;714,7816148;17,35295797;;ors_old_2010_2016
2012;2;66936,52463;63706,61829;61208,89263;2497,725659;2380,351992;;;829,7019635;19,85239152;;ors_old_2010_2016
2012;3;67085,8071;63495,93516;61206,77668;2289,158484;2760,991982;;;812,9733152;15,90663916;;ors_old_2010_2016
2012;4;66921,10088;63663,962;61582,85812;2081,103881;2440,503721;;;793,3161011;23,31906106;;ors_old_2010_2016
2013;1;66177,23616;62825,41532;60519,79109;2305,624237;2592,366216;;;736,5472746;22,90734654;;ors_old_2010_2016
2013;2;66166,43742;62750,74433;60561,41321;2189,331128;2699,182873;;;694,8312382;21,67897222;;ors_old_2010_2016
2013;3;66266,03311;62704,08144;60552,74253;2151,338906;2869,941387;;;669,2575075;22,75278051;;ors_old_2010_2016
2013;4;66177,61457;62755,51674;60533,75672;2221,760021;2647,90238;;;758,8299393;15,36550784;;ors_old_2010_2016
2014;1;65947,04014;62808,81297;60161,22961;2647,583365;2497,013867;;;598,1440046;26,42785945;16,64143435;ors_old_2010_2016
2014;2;66111,60652;62962,80099;60509,79212;2453,008867;2512,538391;;;584,5920971;28,44240006;23,23264096;ors_old_2010_2016
2014;3;66551,20687;63032,59995;60277,23799;2755,36196;2888,197275;;;579,7382028;32,20681906;18,4646196;ors_old_2010_2016
2014;4;66903,38831;63527,61053;60825,83809;2701,772443;2722,995192;;;599,3025659;26,54219582;26,93782294;ors_old_2010_2016
2015;1;66728,04028;63521,56883;60851,35242;2670,216416;2596,556789;;;576,3216151;27,78923628;5,803805375;ors_old_2010_2016
2015;2;66928,80486;63367,7149;60775,26029;2592,454604;2822,385943;;;701,3246489;30,94586373;6,433512454;ors_old_2010_2016
2015;3;67490,39338;64059,84156;61294,30035;2765,541214;2804,472094;;;594,6554987;24,66587725;6,758341393;ors_old_2010_2016
2015;4;67290,6597;64064,17556;61369,32958;2694,845978;2604,050922;;;594,3567252;25,16655528;2,909940525;ors_old_2010_2016
2016;1;66400,88628;63414,06605;61004,85843;2409,207619;2375,66623;;;579,0132982;24,11192814;8,028775014;ors_old_2010_2016
2016;2;66637,78949;63469,67885;61020,893;2448,785841;2511,737364;;;611,8758948;38,22338873;6,273996675;ors_old_2010_2016
2016;3;67381,90149;64066,14469;61495,96353;2570,181167;2672,869955;;;611,4660297;23,51020928;7,910603415;ors_old_2010_2016
2016;4;67452,87252;64304,23114;61863,07589;2441,155254;2492,024251;;;634,6113787;18,68095628;3,324787558;ors_old_2010_2016
2017;1;67339,68228;64316,51422;61628,47264;2688,041571;2444,444717;;;547,0209526;25,63740625;6,064983416;ors_old_2017_2019
2017;2;67311,33885;64097,92983;61955,18841;2142,741422;2573,359148;;;603,0771298;24,59077407;12,38196365;ors_old_2017_2019
2017;3;67714,62294;64180,32289;61888,96653;2291,356361;2919,187489;;;592,6816509;16,80339711;5,627510341;ors_old_2017_2019
2017;4;67713,52515;64453,95453;62320,47382;2133,480712;2595,580478;;;632,0596984;25,31200437;6,618441457;ors_old_2017_2019
2018;1;67214,60037;64157,11798;62210,82081;1946,297174;2429,614159;;;586,415455;31,02901601;10,42375595;ors_old_2017_2019
2018;2;67425,7689;64155,62639;62256,73481;1898,891577;2581,217347;;;662,05256;20,69340317;6,179204239;ors_old_2017_2019
2018;3;67921,22215;64489,07187;62305,31879;2183,753076;2762,555801;;;633,1856657;26,57560494;9,83320432;ors_old_2017_2019
2018;4;67745,27767;64612,32602;62348,59938;2263,726646;2460,752708;;;638,7506035;31,19699424;2,25134189;ors_old_2017_2019
2019;1;66778,08536;63520,98239;61770,20696;1750,775427;2504,604133;;;723,4008494;;29,09798487;ors_old_2017_2019
2019;2;66667,38754;62955,04207;61007,22129;1947,820785;2853,545993;;;827,1276016;;31,67187485;ors_old_2017_2019
2019;3;67414,25128;63809,26455;61885,45492;1923,809633;2720,159086;;;850,4803117;;34,34733536;ors_old_2017_2019
2019;4;67576,1365;64120,24281;62216,10612;1904,136692;2542,120518;;;886,9690784;;26,80409206;ors_old_2017_2019
2020;1;66768,36522;63503,49662;61739,28093;1764,21569;2319,934712;;;905,595284;;39,33859579;ors_old_2020_2021
2020;2;65257,19047;62306,60962;60722,9089;1583,700722;2022,428863;;;857,9023406;;70,24964132;ors_old_2020_2021
2020;3;65420,1113;62062,54222;60278,75529;1783,786926;2360,755303;;;947,1603235;;49,65344871;ors_old_2020_2021
2020;4;65886,05856;62660,22903;60960,27144;1699,95759;2280,349349;;;891,535143;;53,94503517;ors_old_2020_2021
2021;1;66210,589;62888,13364;61190,18042;1697,953223;2142,570137;;;1147,694247;;32,19097729;ors_old_2020_2021
2021;2;66499,22571;63080,89292;61492,10356;1588,78936;2330,387215;;;1057,983014;;29,96256571;ors_old_2020_2021
2021;3;67384,44542;63960,66528;62453,65265;1507,012631;2319,721676;;;1063,417366;;40,64109748;ors_old_2020_2021
2021;4;67650,18506;64488,02845;63128,56477;1359,463676;2037,087799;;;1092,89324;;32,17557632;ors_old_2020_2021
2022;1;66962,13414;63348,56898;;;2112,061988;;;1501,503173;;;ors_old_2022
2022;2;66843,31348;63241,52764;;;2206,696751;;;1395,089088;;;ors_old_2022
2022;3;67171,43194;63734,76963;;;2144,828286;;;1291,834029;;;ors_old_2022
2022;4;67265,40487;64121,22838;;;1958,045749;;;1186,130741;;;ors_old_2022
2023;1;68178,48772;65162,87906;;;1849,947164;;;1165,661499;;;ors_old_2023
2023;2;68341,29811;65428,5141;;;1880,986123;;;1031,797891;;;ors_old_2023
2023;3;68775,12597;65747,39126;;;1946,052032;;;1081,682674;;;ors_old_2023
2023;4;69111,54193;66249,84327;;;1534,755993;;;1326,942674;;;ors_old_2023
